iter	Passed	Remaining
0	24	24402
1	46	23361
2	69	23180
3	92	23078
4	115	22905
5	138	23002
6	161	22851
7	182	22618
8	205	22629
9	232	22999
10	257	23187
11	288	23789
12	338	25720
13	393	27737
14	449	29533
15	490	30183
16	546	31612
17	612	33393
18	668	34520
19	703	34488
20	740	34507
21	782	34771
22	823	34989
23	869	35366
24	930	36285
25	992	37167
26	1037	37395
27	1083	37604
28	1128	37785
29	1175	38003
30	1210	37850
31	1267	38333
32	1317	38607
33	1375	39091
34	1430	39452
35	1477	39565
36	1512	39359
37	1549	39221
38	1587	39127
39	1626	39045
40	1665	38951
41	1701	38814
42	1737	38673
43	1782	38735
44	1840	39067
45	1897	39351
46	1950	39540
47	2003	39740
48	2077	40327
49	2138	40625
50	2192	40791
51	2223	40540
52	2255	40295
53	2293	40173
54	2322	39912
55	2354	39689
56	2384	39446
57	2412	39179
58	2442	38949
59	2472	38740
60	2505	38565
61	2539	38426
62	2577	38336
63	2610	38173
64	2640	37987
65	2670	37792
66	2700	37610
67	2728	37401
68	2759	37233
69	2791	37089
70	2821	36918
71	2850	36745
72	2879	36567
73	2910	36423
74	2947	36358
75	2993	36396
76	3030	36325
77	3062	36203
78	3095	36083
79	3126	35953
80	3156	35813
81	3189	35711
82	3220	35578
83	3257	35519
84	3299	35515
85	3337	35470
86	3381	35486
87	3427	35516
88	3470	35526
89	3517	35567
90	3556	35530
91	3607	35605
92	3652	35623
93	3694	35609
94	3741	35644
95	3774	35546
96	3803	35409
97	3827	35225
98	3849	35034
99	3872	34853
100	3894	34669
101	3917	34490
102	3940	34315
103	3961	34133
104	3984	33960
105	4007	33800
106	4031	33642
107	4054	33490
108	4076	33323
109	4099	33165
110	4121	33007
111	4143	32848
112	4166	32701
113	4188	32551
114	4211	32412
115	4234	32267
116	4257	32131
117	4280	31997
118	4303	31858
119	4326	31726
120	4351	31608
121	4374	31480
122	4398	31360
123	4422	31243
124	4444	31108
125	4469	31005
126	4493	30888
127	4516	30766
128	4536	30629
129	4559	30516
130	4582	30399
131	4606	30293
132	4629	30178
133	4650	30055
134	4672	29937
135	4695	29831
136	4720	29732
137	4743	29629
138	4767	29530
139	4789	29418
140	4810	29305
141	4831	29192
142	4851	29075
143	4873	28969
144	4896	28872
145	4918	28767
146	4938	28655
147	4961	28559
148	4982	28457
149	5004	28358
150	5027	28266
151	5049	28169
152	5070	28070
153	5096	27996
154	5127	27955
155	5158	27907
156	5199	27918
157	5250	27978
158	5324	28162
159	5370	28195
160	5430	28297
161	5491	28405
162	5534	28419
163	5603	28565
164	5639	28538
165	5673	28506
166	5714	28502
167	5763	28540
168	5820	28621
169	5879	28706
170	5922	28710
171	5972	28751
172	6030	28827
173	6084	28882
174	6140	28945
175	6195	29003
176	6243	29029
177	6291	29052
178	6327	29019
179	6362	28986
180	6403	28976
181	6461	29042
182	6517	29095
183	6589	29223
184	6640	29255
185	6698	29312
186	6751	29350
187	6815	29435
188	6906	29635
189	6966	29697
190	6997	29638
191	7029	29581
